"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mobile_phone_yn,household_behavior,,yesno,"Is there a mobile phone present in your household?",,,,,,,,,RH,,,,
roof_rad,household_behavior,,radio,"Type of roof of the house","1, Thatched | 2, Concrete | 3, Tiles | 4, Thatched and tiles | 5, Other, specify",,,,,,,,,,,,
roof_other,household_behavior,,text,"if Other, specify",,,,,,,"[roof_rad] = '5'",,RH,,,,
clinic_distance,household_behavior,,text,"What is the distance to the nearest clinic?",,Kilometers,,,,,,,RH,,,,
clinic_transport_rad,household_behavior,,radio,"What type of transport would you use to go there?","1, Walking | 2, Bicycle | 3, Motorcycle | 4, Car | 5, Other, specify",,,,,,,,,,,,
clinic_transport_other,household_behavior,,text,"if Other, specify",,,,,,,"[clinic_transport_rad] = '5'",,RH,,,,
clinic_transport_time,household_behavior,,text,"How long would it take you to get there using that type of transport?",,Minutes,,,,,,,RH,,,,
itn_yn,household_behavior,"Part  B. Malaria prevention and treatment at  the household level",yesno,"Does your household have an ITN? ",,,,,,,,,RH,,,,
itn_no_reason,household_behavior,,text,"If no, is there a specific reason why there is no ITN?",,,,,,,"[itn_yn] = '0'",,RH,,,,
itn_number,household_behavior,,text,"If yes, number of ITNs in the household",,,,,,,"[itn_yn] = '1'",,RH,,,,
itn_how_get,household_behavior,,text,"If yes, how did you get the ITN?",,,,,,,"[itn_yn] = '1'",,RH,,,,
itn_when_get,household_behavior,,text,"How long ago did you get the ITN?",,Years,,,,,"[itn_yn] = '1'",,RH,,,,
itn_defects_yn,household_behavior,,yesno,"Does the ITN have holes or other defects?",,,,,,,"[itn_yn] = '1'",,RH,,,,
itn_defects_repair_yn,household_behavior,,yesno,"If the net has holes, does somebody repair the net?",,,,,,,"[itn_yn] = '1' and [itn_defects_yn] = '1'",,RH,,,,
coils_yn,household_behavior,,yesno,"Does your household use coils?",,,,,,,,,RH,,,,
coils_used_when_rad,household_behavior,,radio,"If yes, when do you use them?","1, Daytime | 2, Evening | 3, Night  time | 4, Other, specify",,,,,,"[coils_yn] = '1'",,,,,,
coils_used_when_other,household_behavior,,text,"if Other, specify",,,,,,,"[coils_yn] = '1' and [coils_used_when_rad] = '4'",,RH,,,,
coils_used_frequency_rad,household_behavior,,radio,"If yes, how often do you use them?","1, Always | 2, Sometimes | 3, Rarely",,,,,,"[coils_yn] = '1'",,,,,,
mats_yn,household_behavior,,yesno,"Does your household use mats?",,,,,,,,,RH,,,,
mats_used_when_rad,household_behavior,,radio,"If yes, when do you use them?","1, Daytime | 2, Evening | 3, Night  time | 4, Other, specify",,,,,,"[mats_yn] = '1'",,,,,,
mats_used_when_other,household_behavior,,text,"if Other, specify",,,,,,,"[mats_yn] = '1' and [mats_used_when_rad] = '4'",,RH,,,,
mats_used_frequency,household_behavior,,radio,"If yes, how often do you use them?","1, Always | 2, Sometimes | 3, Rarely",,,,,,"[mats_yn] = '1'",,,,,,
vapor_yn,household_behavior,,yesno,"Does your household use vaporizers?",,,,,,,,,RH,,,,
vapor_used_when_rad,household_behavior,,radio,"If yes, when do you use them?","1, Daytime | 2, Evening | 3, Night  time | 4, Other, specify",,,,,,"[vapor_yn] = '1'",,,,,,
vapor_used_when_other,household_behavior,,text,"if Other, specify",,,,,,,"[vapor_yn] = '1' and [vapor_used_when_rad] = '4'",,RH,,,,
vapor_used_frequency,household_behavior,,radio,"If yes, how often do you use them?","1, Always | 2, Sometimes | 3, Rarely",,,,,,"[vapor_yn] = '1'",,,,,,
antimoz_spray_yn,household_behavior,"Does your household use any of the following to reduce the mosquito burden: ",radio,"-Use Insecticide spray","1, Yes | 2, No",,,,,,,,,,antimoz,,
antimoz_dung_yn,household_behavior,,radio,"-Use burning neem leaves or cow dung","1, Yes | 2, No",,,,,,,,,,antimoz,,
antimoz_bushes_yn,household_behavior,,radio,"-Clear bushes around house","1, Yes | 2, No",,,,,,,,,,antimoz,,
antimoz_stagnant_yn,household_behavior,,radio,"-Clear stagnant water pools around house","1, Yes | 2, No",,,,,,,,,,antimoz,,
antimoz_windows_yn,household_behavior,,radio,"-Keep windows/door closed in evening","1, Yes | 2, No",,,,,,,,,,antimoz,,
antimoz_screening_yn,household_behavior,,radio,"-Screening of windows","1, Yes | 2, No",,,,,,,,,,antimoz,,
antimoz_other_yn,household_behavior,,radio,"-Other, specify","1, Yes | 2, No",,,,,,,,,,antimoz,,
antimoz_other,household_behavior,,text,"if yes to Other, specify",,,,,,,"[antimoz_other_yn] = '1'",,RH,,,,
spray_pastyear_rad,household_behavior,,radio,"Has the bedroom of your house been sprayed with insecticide in the past year?","1, Yes | 2, No | 3, Unknown",,,,,,,,RH,,,,
know_medicines_yn,household_behavior,,yesno,"Do you know any antimalarial medicines?",,,,,,,,,RH,,,,
know_medicines_yes,household_behavior,,text,"If yes, which ones?",,,,,,,"[know_medicines_yn] = '1'",,RH,,,,
medicine_at_home_rad,household_behavior,,radio,"Do you keep antimalarial medicine at home?","1, Yes, always | 2, Yes, sometimes | 3, No",,,,,,,,RH,,,,
medicine_at_home_yes,household_behavior,,text,"If yes, which medicines?",,,,,,,"[medicine_at_home_rad] = '1' or [medicine_at_home_rad] = '2'",,RH,,,,
notes,household_behavior,Notes,notes,"Any remarks about the interview  or certain questions",,,,,,,,,LH,,,,
interviewer,household_behavior,,text,"Interviewer Name",,,,,,,,,RH,,,,
interviewer_date,household_behavior,,text,"Interviewer signed date",,,date_dmy,,,,,,RH,,,,
checked_by,household_behavior,,text,"Checked by",,,,,,,,,RH,,,,
checked_by_date,household_behavior,,text,"Checked by signed date",,,date_dmy,,,,,,RH,,,,
deo_notes,household_behavior,,notes,"DEO notes about data entry for this record",,,,,,,,,LH,,,,
